Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
AHLA1505,train,inv,90,pos90_id3_im6.bmp_pos90_id3_im17.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.5252694999981031,1,0,
AHLA1505,train,inv,fs,posfs_id2_im16.bmp_posfs_id2_im2.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.4250783000024967,2,0,
AHLA1505,train,inv,60,pos60_id13_im15.bmp_pos60_id6_im18.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,0,1.0914659000009124,2,0,
AHLA1505,train,inv,120,pos120_id17_im8.bmp_pos120_id17_im9.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.4327408999997715,3,0,
AHLA1505,train,inv,30,pos30_id2_im2.bmp_pos30_id2_im16.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.6501851000030001,4,0,
AHLA1505,train,inv,120,pos120_id3_im6.bmp_pos120_id3_im8.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.4248129000006884,5,0,
AHLA1505,train,inv,60,pos60_id13_im15.bmp_pos60_id13_im29.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.408451100000093,6,0,
AHLA1505,train,inv,0,pos0_id6_im12.bmp_pos0_id6_im18.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.4755709000019124,7,0,
AHLA1505,train,inv,fs,posfs_id3_im6.bmp_posfs_id7_im14.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],diff,1,0.4251288999985263,8,0,
AHLA1505,train,inv,150,pos150_id7_im14.bmp_pos150_id7_im15.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.4083470999976271,9,0,
AHLA1505,train,inv,30,pos30_id17_im8.bmp_pos30_id3_im8.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,0,0.4166852000016661,9,0,
AHLA1505,train,inv,0,pos0_id6_im19.bmp_pos0_id6_im12.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.6581631999979436,10,0,
AHLA1505,train,inv,90,pos90_id19_im27.bmp_pos90_id19_im8.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.4249847999999474,11,0,
AHLA1505,train,inv,150,pos150_id20_im30.bmp_pos150_id10_im18.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,0,0.8749526999999944,11,0,
AHLA1505,train,neg,fs,negfs_id20_im12.bmp_negfs_id20_im30.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.641487100001541,12,0,
AHLA1505,train,neg,0,neg0_id11_im1.bmp_neg0_id19_im8.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,0,1.2752366999993683,12,0,
AHLA1505,train,neg,150,neg150_id17_im14.bmp_neg150_id11_im10.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],diff,1,0.7419033999976818,13,0,
AHLA1505,train,neg,0,neg0_id11_im10.bmp_neg0_id11_im1.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],diff,0,0.43316920000143,13,0,
AHLA1505,train,neg,150,neg150_id19_im8.bmp_neg150_id11_im1.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,0,0.42533519999778946,13,0,
AHLA1505,train,neg,60,neg60_id11_im10.bmp_neg60_id17_im14.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],diff,1,0.449464799999987,14,0,
AHLA1505,train,neg,90,neg90_id17_im14.bmp_neg90_id17_im8.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],diff,0,0.8502229000005173,14,0,
AHLA1505,train,neg,120,neg120_id7_im15.bmp_neg120_id20_im12.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],diff,1,0.7336302000003343,15,0,
AHLA1505,train,neg,90,neg90_id2_im3.bmp_neg90_id2_im2.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.6996046000022034,16,0,
AHLA1505,train,neg,30,neg30_id7_im15.bmp_neg30_id20_im12.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],diff,1,0.5250000000014552,17,0,
AHLA1505,train,neg,30,neg30_id19_im27.bmp_neg30_id19_im8.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,1,0.6418889000015042,18,0,
AHLA1505,train,neg,fs,negfs_id11_im2.bmp_negfs_id10_im18.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],diff,1,0.5080390999974043,19,0,
AHLA1505,train,neg,120,neg120_id6_im19.bmp_neg120_id20_im3.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],diff,1,0.42506540000249515,20,0,
AHLA1505,train,neg,60,neg60_id11_im2.bmp_neg60_id2_im16.bmp,['Im_PatrickDempsey.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png'],same,0,0.41674840000268887,20,0,
