Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc
ALRE2209,train,pos,fs,posfs_id19_im4.bmp_posfs_id19_im27.bmp,['Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_OrlandoBloom.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png'],same,1,88.53415580000001,1,0
ALRE2209,train,pos,fs,posfs_id16_im3.bmp_posfs_id16_im19.bmp,['Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_OrlandoBloom.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png'],same,1,92.17554400000017,2,0
ALRE2209,train,pos,fs,posfs_id4_im7.bmp_posfs_id4_im20.bmp,['Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_OrlandoBloom.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png'],same,1,95.68391780000002,3,0
ALRE2209,train,pos,fs,posfs_id20_im12.bmp_posfs_id20_im3.bmp,['Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_OrlandoBloom.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png'],same,1,100.24214210000036,4,0
ALRE2209,train,pos,fs,posfs_id7_im14.bmp_posfs_id7_im26.bmp,['Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_OrlandoBloom.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png'],same,1,103.95877090000022,5,0
ALRE2209,train,pos,fs,posfs_id4_im7.bmp_posfs_id17_im9.bmp,['Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_OrlandoBloom.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png'],diff,1,108.0589186000002,6,0
ALRE2209,train,pos,fs,posfs_id11_im2.bmp_posfs_id20_im30.bmp,['Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_OrlandoBloom.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png'],diff,1,111.65920080000024,7,0
ALRE2209,train,pos,fs,posfs_id16_im2.bmp_posfs_id5_im10.bmp,['Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_OrlandoBloom.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png'],diff,1,115.45061110000006,8,0
ALRE2209,train,pos,fs,posfs_id20_im30.bmp_posfs_id4_im20.bmp,['Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_OrlandoBloom.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png'],diff,1,119.0837389000003,9,0
ALRE2209,train,pos,fs,posfs_id2_im3.bmp_posfs_id7_im26.bmp,['Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_OrlandoBloom.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png'],diff,1,123.24249420000024,10,0
ALRE2209,train,pos,fs,posfs_id7_im26.bmp_posfs_id19_im4.bmp,['Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_KeanuReeves.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_OrlandoBloom.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png'],diff,1,127.06728740000017,11,0
