Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
BECO2507,train,inv,fs,posfs_id19_im8.bmp_posfs_id14_im24.bmp,['Im_RobertDowneyJr.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_BenAffleck.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_MattDamon.png'],same,0,4.133537000001525,0,0,
BECO2507,train,inv,60,pos60_id21_im16.bmp_pos60_id21_im17.bmp,['Im_RobertDowneyJr.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_BenAffleck.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_MattDamon.png'],diff,0,0.408377499999915,0,0,
BECO2507,train,inv,30,pos30_id8_im13.bmp_pos30_id21_im17.bmp,['Im_RobertDowneyJr.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_BenAffleck.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_MattDamon.png'],diff,1,0.8000299999985145,1,0,
BECO2507,train,inv,150,pos150_id21_im22.bmp_pos150_id18_im19.bmp,['Im_RobertDowneyJr.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_BenAffleck.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_MattDamon.png'],diff,1,0.5751618000031158,2,0,
BECO2507,train,inv,30,pos30_id20_im30.bmp_pos30_id20_im3.bmp,['Im_RobertDowneyJr.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_BenAffleck.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_MattDamon.png'],diff,0,0.40837159999864525,2,0,
BECO2507,train,inv,90,pos90_id14_im18.bmp_pos90_id6_im18.bmp,['Im_RobertDowneyJr.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_BenAffleck.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_MattDamon.png'],same,0,0.5250141999968037,2,0,
BECO2507,train,inv,0,pos0_id21_im22.bmp_pos0_id18_im18.bmp,['Im_RobertDowneyJr.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_BenAffleck.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_MattDamon.png'],diff,1,0.7917951000017638,3,0,
BECO2507,train,inv,90,pos90_id13_im10.bmp_pos90_id13_im15.bmp,['Im_RobertDowneyJr.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_BenAffleck.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_MattDamon.png'],same,1,0.42522420000022976,4,0,
BECO2507,train,inv,150,pos150_id14_im24.bmp_pos150_id14_im16.bmp,['Im_RobertDowneyJr.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_BenAffleck.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_MattDamon.png'],same,1,0.7832471000001533,5,0,
BECO2507,train,inv,120,pos120_id19_im27.bmp_pos120_id19_im8.bmp,['Im_RobertDowneyJr.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_BenAffleck.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_RyanGosling.png', 'Im_MattDamon.png'],same,1,0.44206970000232104,6,0,
