Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
BECO2507,train,neg,150,neg150_id18_im11.bmp_neg150_id13_im15.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,0,1.458363100000497,0,0,
BECO2507,train,neg,120,neg120_id11_im2.bmp_neg120_id13_im29.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],diff,1,0.4167604999993273,1,0,
BECO2507,train,neg,60,neg60_id13_im15.bmp_neg60_id13_im10.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],diff,0,0.6169285000005402,1,0,
BECO2507,train,neg,90,neg90_id21_im16.bmp_neg90_id21_im22.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,1,0.7253148999998302,2,0,
BECO2507,train,neg,150,neg150_id20_im3.bmp_neg150_id18_im19.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,0,0.4251531999998406,2,0,
BECO2507,train,neg,30,neg30_id6_im19.bmp_neg30_id6_im12.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,1,0.4168109000002005,3,0,
BECO2507,train,neg,fs,negfs_id8_im21.bmp_negfs_id19_im4.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],diff,1,0.4333752000002278,4,0,
BECO2507,train,neg,0,neg0_id1_im21.bmp_neg0_id1_im24.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,1,0.41666519999944285,5,0,
BECO2507,train,neg,fs,negfs_id6_im12.bmp_negfs_id6_im18.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,1,0.4414560999994137,6,0,
BECO2507,train,neg,120,neg120_id8_im13.bmp_neg120_id8_im21.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,1,0.4164436000000933,7,0,
BECO2507,train,neg,90,neg90_id6_im18.bmp_neg90_id14_im18.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,0,0.6419212999999218,7,0,
BECO2507,train,neg,30,neg30_id13_im10.bmp_neg30_id13_im29.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,1,0.4999819999993633,8,0,
BECO2507,train,neg,60,neg60_id11_im2.bmp_neg60_id11_im10.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,1,0.42472079999970447,9,0,
BECO2507,train,neg,0,neg0_id18_im11.bmp_neg0_id18_im18.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,1,0.4084048000004259,10,0,
BECO2507,train,pos,60,pos60_id8_im13.bmp_pos60_id8_im21.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,1,0.6503124000000753,11,0,
BECO2507,train,pos,150,pos150_id21_im16.bmp_pos150_id19_im27.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],diff,1,0.40836140000010346,12,0,
BECO2507,train,pos,150,pos150_id11_im2.bmp_pos150_id1_im4.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],diff,1,0.49144559999967896,13,0,
BECO2507,train,pos,30,pos30_id19_im8.bmp_pos30_id19_im4.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,1,0.4256959000003917,14,0,
BECO2507,train,pos,fs,posfs_id13_im10.bmp_posfs_id13_im29.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,1,0.4166958000005252,15,0,
BECO2507,train,pos,30,pos30_id18_im11.bmp_pos30_id18_im19.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_ElijahWood.png', 'Im_BenAffleck.png', 'Im_MattDamon.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png'],same,1,0.4247709000001123,16,0,
