Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
BRMA1708,train,neg,fs,negfs_id13_im10.bmp_negfs_id13_im15.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],same,1,1.0085326000007626,1,0,
BRMA1708,train,neg,0,neg0_id16_im19.bmp_neg0_id16_im3.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],same,1,0.41675989999930607,2,0,
BRMA1708,train,neg,90,neg90_id18_im18.bmp_neg90_id11_im10.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.4084225000005972,3,0,
BRMA1708,train,neg,150,neg150_id13_im10.bmp_neg150_id13_im29.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,0,0.42503100000067207,3,0,
BRMA1708,train,neg,30,neg30_id7_im15.bmp_neg30_id7_im14.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],same,1,0.40821479999976873,4,0,
BRMA1708,train,neg,fs,negfs_id11_im2.bmp_negfs_id21_im22.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.5833504000001994,5,0,
BRMA1708,train,neg,60,neg60_id19_im8.bmp_neg60_id19_im27.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,0,0.49333589999878313,5,0,
BRMA1708,train,neg,90,neg90_id4_im20.bmp_neg90_id4_im7.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],same,1,0.42509049999898707,6,0,
BRMA1708,train,neg,30,neg30_id13_im15.bmp_neg30_id19_im27.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.4167202000007819,7,0,
BRMA1708,train,neg,0,neg0_id18_im11.bmp_neg0_id18_im18.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],same,1,0.45855160000064643,8,0,
BRMA1708,train,neg,60,neg60_id19_im4.bmp_neg60_id8_im21.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.45046170000023267,9,0,
BRMA1708,train,neg,120,neg120_id19_im4.bmp_neg120_id19_im27.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],same,1,1.0502324999997654,10,0,
BRMA1708,train,neg,120,neg120_id4_im7.bmp_neg120_id8_im21.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.416733000000022,11,0,
BRMA1708,train,neg,150,neg150_id21_im16.bmp_neg150_id16_im19.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.4417346999998699,12,0,
BRMA1708,train,neg,30,neg30_id8_im13.bmp_neg30_id5_im10.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.42507909999949334,13,0,
BRMA1708,train,neg,120,neg120_id21_im22.bmp_neg120_id11_im2.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.4165735999995377,14,0,
BRMA1708,train,neg,150,neg150_id18_im18.bmp_neg150_id11_im10.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.4500642999992124,15,0,
BRMA1708,train,neg,150,neg150_id19_im8.bmp_neg150_id19_im27.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],same,1,0.4168241000006674,16,0,
BRMA1708,train,neg,fs,negfs_id5_im20.bmp_negfs_id18_im18.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.43349080000007234,17,0,
BRMA1708,train,neg,0,neg0_id16_im3.bmp_neg0_id8_im13.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.4168150000004971,18,0,
BRMA1708,train,neg,fs,negfs_id13_im10.bmp_negfs_id13_im29.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,0,0.42500749999999243,18,0,
BRMA1708,train,neg,30,neg30_id18_im18.bmp_neg30_id11_im10.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.4166951999995945,19,0,
BRMA1708,train,neg,90,neg90_id18_im11.bmp_neg90_id18_im18.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],same,1,0.6913631999996142,20,0,
BRMA1708,train,neg,60,neg60_id5_im10.bmp_neg60_id5_im20.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],same,1,0.408300799999779,21,0,
BRMA1708,train,neg,0,neg0_id21_im16.bmp_neg0_id16_im19.bmp,['Im_KeanuReeves.png', 'Im_OrlandoBloom.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_RobertDowneyJr.png'],diff,1,0.5083224000009068,22,0,
