Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
BRNA1411,train,inv,120,pos120_id5_im1.bmp_pos120_id5_im10.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],same,1,0.4252699000026041,1,0,
BRNA1411,train,inv,fs,posfs_id13_im29.bmp_posfs_id13_im15.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],diff,0,0.4250772000013967,1,0,
BRNA1411,train,inv,120,pos120_id5_im1.bmp_pos120_id5_im20.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],same,1,0.40841200000068056,2,0,
BRNA1411,train,inv,0,pos0_id20_im3.bmp_pos0_id5_im20.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],same,0,0.4499706000024162,2,0,
BRNA1411,train,inv,60,pos60_id7_im26.bmp_pos60_id3_im8.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],diff,1,0.4751133999998274,3,0,
BRNA1411,train,inv,150,pos150_id20_im30.bmp_pos150_id13_im29.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],diff,1,0.8002111000023433,4,0,
BRNA1411,train,inv,90,pos90_id4_im7.bmp_pos90_id4_im20.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],same,1,0.45027049999771407,5,0,
BRNA1411,train,inv,0,pos0_id17_im9.bmp_pos0_id19_im8.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],same,0,0.6584855000000971,5,0,
BRNA1411,train,inv,60,pos60_id4_im20.bmp_pos60_id4_im15.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],same,1,0.416722200003278,6,0,
BRNA1411,train,inv,30,pos30_id5_im20.bmp_pos30_id20_im3.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],same,0,0.4250419000018155,6,0,
BRNA1411,train,inv,150,pos150_id19_im4.bmp_pos150_id19_im8.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],same,1,0.4084072000005108,7,0,
BRNA1411,train,inv,90,pos90_id16_im19.bmp_pos90_id16_im3.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],diff,0,0.6917850999998336,7,0,
BRNA1411,train,inv,30,pos30_id17_im8.bmp_pos30_id5_im10.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png'],diff,1,0.4251053000007232,8,0,
