Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
DEMA2901,train,inv,120,pos120_id11_im1.bmp_pos120_id18_im19.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],same,0,1.241579499999716,0,0,
DEMA2901,train,inv,fs,posfs_id14_im24.bmp_posfs_id21_im17.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],diff,1,0.5918736999992689,1,0,
DEMA2901,train,inv,150,pos150_id10_im18.bmp_pos150_id11_im2.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],diff,1,0.5089091999998345,2,0,
DEMA2901,train,inv,150,pos150_id18_im19.bmp_pos150_id13_im29.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],diff,1,1.2509373000011692,3,0,
DEMA2901,train,inv,90,pos90_id13_im15.bmp_pos90_id7_im15.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],diff,1,0.7250194999996893,4,0,
DEMA2901,train,inv,120,pos120_id8_im13.bmp_pos120_id6_im18.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],diff,1,1.0584958999988885,5,0,
DEMA2901,train,inv,30,pos30_id14_im24.bmp_pos30_id6_im19.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],diff,1,0.7584960000003775,6,0,
DEMA2901,train,inv,fs,posfs_id19_im4.bmp_posfs_id19_im27.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],same,1,0.50845069999923,7,0,
DEMA2901,train,inv,90,pos90_id13_im15.bmp_pos90_id13_im29.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],same,1,0.9085852000007435,8,0,
DEMA2901,train,inv,0,pos0_id13_im15.bmp_pos0_id11_im1.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],diff,1,0.7415063000007649,9,0,
DEMA2901,train,inv,0,pos0_id11_im1.bmp_pos0_id11_im2.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],same,1,0.7420199000007415,10,0,
DEMA2901,train,inv,60,pos60_id10_im18.bmp_pos60_id10_im1.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],same,1,0.9832217000002856,11,0,
DEMA2901,train,inv,30,pos30_id19_im8.bmp_pos30_id10_im18.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],same,0,1.2083550999996078,11,0,
DEMA2901,train,inv,60,pos60_id14_im18.bmp_pos60_id10_im17.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],same,0,0.8250061999988247,11,0,
DEMA2901,train,pos,150,pos150_id18_im18.bmp_pos150_id18_im11.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],same,1,0.47519930000089516,12,0,
DEMA2901,train,pos,0,pos0_id10_im17.bmp_pos0_id10_im18.bmp,['Im_RobertPattinson.png', 'Im_RyanReynolds.png', 'Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_KeanuReeves.png', 'Im_MattDamon.png', 'Im_JustinTimberlake.png', 'Im_ElijahWood.png'],same,1,0.5416119000001345,13,0,
