Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
DILA0206,_,posfs_ElijahWood_im19.bmp,ElijahWood,PatrickDempsey,PatrickDempsey,RyanReynolds,BenAffleck,OrlandoBloom,,,,,posfs_ElijahWood_im19.bmp,17.516999999999825,
DILA0206,_,posfs_RobertDowneyJr_im11.bmp,RobertDowneyJr,HughJackman,HughJackman,RyanGosling,JustinTimberlake,BenStiller,,,,,1,23.8865124999993,
DILA0206,_,posfs_BenStiller_im7.bmp,BenStiller,LeonardoDiCaprio,LeonardoDiCaprio,RyanGosling,DanielCraig,PatrickDempsey,,,,,posfs_BenStiller_im7.bmp,16.960293199999796,
DILA0206,_,posfs_BradPitt_im14.bmp,BradPitt,MattDamon,MattDamon,DanielCraig,OrlandoBloom,LeonardoDiCaprio,,,,,0,72.37624470000083,
DILA0206,_,posfs_GeorgeClooney_im14.bmp,GeorgeClooney,KeanuReeves,KeanuReeves,LeonardoDiCaprio,PatrickDempsey,RobertPattinson,,,,,4,54.96721070000058,
DILA0206,_,posfs_RobertPattinson_im4.bmp,RobertPattinson,DanielRadcliffe,DanielRadcliffe,RyanGosling,MattDamon,ElijahWood,,,,,posfs_RobertPattinson_im4.bmp,1.262127200003306,
DILA0206,_,posfs_RobertPattinson_im8.bmp,RobertPattinson,DanielRadcliffe,DanielRadcliffe,OrlandoBloom,MattDamon,RyanGosling,,,,,posfs_RobertPattinson_im8.bmp,2.401717600001575,
DILA0206,_,posfs_LeonardoDiCaprio_im29.bmp,LeonardoDiCaprio,RobertDowneyJr,RobertDowneyJr,PatrickDempsey,OrlandoBloom,DanielCraig,,,,,posfs_LeonardoDiCaprio_im29.bmp,2.8304328999984136,
DILA0206,_,posfs_DanielCraig_im7.bmp,DanielCraig,BenAffleck,BenAffleck,KeanuReeves,PatrickDempsey,DanielRadcliffe,,,,,4,13.768587700000353,
DILA0206,_,posfs_DanielCraig_im15.bmp,DanielCraig,BenAffleck,BenAffleck,MattDamon,BenStiller,HughJackman,,,,,4,6.930929699999979,
