Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
DILA0206,train,inv,fs,posfs_id6_im19.bmp_posfs_id6_im18.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],same,1,0.9251340000009804,1,0,
DILA0206,train,inv,120,pos120_id20_im3.bmp_pos120_id20_im30.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],diff,0,2.1416578999997,1,0,
DILA0206,train,inv,fs,posfs_id17_im14.bmp_posfs_id17_im9.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],diff,0,1.3912950000012643,1,0,
DILA0206,train,inv,90,pos90_id19_im27.bmp_pos90_id19_im4.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],diff,0,2.1004008000018075,1,0,
DILA0206,train,inv,150,pos150_id19_im27.bmp_pos150_id19_im8.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],same,1,0.5751868999977887,2,0,
DILA0206,train,inv,0,pos0_id11_im10.bmp_pos0_id3_im6.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],diff,1,1.1170985999997356,3,0,
DILA0206,train,inv,150,pos150_id6_im12.bmp_pos150_id6_im19.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],diff,0,0.5916829999987385,3,0,
DILA0206,train,inv,60,pos60_id19_im27.bmp_pos60_id13_im15.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],diff,1,1.208699400001933,4,0,
DILA0206,train,inv,0,pos0_id5_im20.bmp_pos0_id5_im1.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],diff,0,1.2999348000012105,4,0,
DILA0206,train,inv,30,pos30_id2_im3.bmp_pos30_id2_im2.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],same,1,0.4167336999998952,5,0,
DILA0206,train,inv,60,pos60_id7_im26.bmp_pos60_id7_im15.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],same,1,1.0919180999990203,6,0,
DILA0206,train,inv,90,pos90_id2_im3.bmp_pos90_id2_im16.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],diff,0,0.4166393000014068,6,0,
DILA0206,train,inv,30,pos30_id17_im14.bmp_pos30_id2_im16.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],diff,1,0.7002534999992349,7,0,
DILA0206,train,inv,120,pos120_id2_im16.bmp_pos120_id2_im3.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],diff,0,1.1753355000000738,7,0,
DILA0206,train,neg,0,neg0_id11_im2.bmp_neg0_id11_im1.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],none,0,4.41666030000124,7,0,
DILA0206,train,neg,30,neg30_id17_im8.bmp_neg30_id17_im14.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],diff,0,1.1832052999998268,7,0,
DILA0206,train,neg,150,neg150_id3_im6.bmp_neg150_id19_im8.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],same,0,0.5583540000006906,7,0,
DILA0206,train,neg,fs,negfs_id19_im4.bmp_negfs_id11_im10.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],same,0,0.4167111000024306,7,0,
DILA0206,train,neg,90,neg90_id5_im20.bmp_neg90_id19_im4.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],same,0,1.433540300000459,7,0,
DILA0206,train,neg,60,neg60_id2_im3.bmp_neg60_id2_im16.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],same,1,1.1080041999994137,8,0,
DILA0206,train,neg,0,neg0_id7_im15.bmp_neg0_id7_im14.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],same,1,1.5918498999999429,9,0,
DILA0206,train,neg,150,neg150_id6_im12.bmp_neg150_id6_im19.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],same,1,2.1671174000002793,10,0,
DILA0206,train,neg,90,neg90_id19_im4.bmp_neg90_id11_im10.bmp,['Im_KeanuReeves.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_BenStiller.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png'],diff,1,2.5917062999978953,11,0,
