Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
FRCH1902,train,pos,fs,posfs_id6_im18.bmp_posfs_id6_im19.bmp,['Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_PatrickDempsey.png'],same,1,2.5001273000016226,1,0,
FRCH1902,train,pos,30,pos30_id5_im10.bmp_pos30_id5_im20.bmp,['Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_PatrickDempsey.png'],same,1,0.4751190000006318,2,0,
FRCH1902,train,pos,0,pos0_id6_im12.bmp_pos0_id5_im1.bmp,['Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_PatrickDempsey.png'],diff,1,0.7749812000001839,3,0,
FRCH1902,train,pos,120,pos120_id5_im20.bmp_pos120_id19_im4.bmp,['Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_PatrickDempsey.png'],diff,1,0.4250523000009707,4,0,
FRCH1902,train,pos,120,pos120_id3_im6.bmp_pos120_id3_im8.bmp,['Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_PatrickDempsey.png'],same,1,0.4250293999994028,5,0,
FRCH1902,train,pos,fs,posfs_id6_im12.bmp_posfs_id6_im18.bmp,['Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_PatrickDempsey.png'],same,1,0.4251137999999628,6,0,
FRCH1902,train,pos,90,pos90_id6_im19.bmp_pos90_id17_im14.bmp,['Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_PatrickDempsey.png'],diff,1,0.42482469999958994,7,0,
FRCH1902,train,pos,150,pos150_id6_im18.bmp_pos150_id6_im19.bmp,['Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_PatrickDempsey.png'],same,1,0.42501739999897836,8,0,
FRCH1902,train,pos,30,pos30_id4_im20.bmp_pos30_id13_im15.bmp,['Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_PatrickDempsey.png'],diff,1,0.41671990000031656,9,0,
FRCH1902,train,pos,60,pos60_id5_im20.bmp_pos60_id5_im10.bmp,['Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_BradPitt.png', 'Im_PatrickDempsey.png'],same,1,0.41643159999875934,10,0,
