Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
FRKA0706,train,neg,fs,negfs_id3_im8.bmp_negfs_id18_im19.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],diff,1,1.1753276999999969,1,0,
FRKA0706,train,neg,30,neg30_id8_im13.bmp_neg30_id18_im19.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],diff,1,1.0999213999999995,2,0,
FRKA0706,train,neg,0,neg0_id2_im16.bmp_neg0_id13_im15.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],diff,1,0.6506492000000037,3,0,
FRKA0706,train,neg,60,neg60_id6_im12.bmp_neg60_id6_im19.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],diff,0,0.9333287999999982,3,0,
FRKA0706,train,neg,120,neg120_id3_im6.bmp_neg120_id3_im8.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],same,1,0.7501986000000045,4,0,
FRKA0706,train,neg,60,neg60_id4_im15.bmp_neg60_id18_im11.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],diff,1,1.0333114000000023,5,0,
FRKA0706,train,neg,0,neg0_id18_im18.bmp_neg0_id7_im15.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],diff,1,0.9667479000000014,6,0,
FRKA0706,train,neg,150,neg150_id4_im15.bmp_neg150_id4_im20.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],same,1,0.7004529000000161,7,0,
FRKA0706,train,neg,120,neg120_id6_im12.bmp_neg120_id6_im19.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],diff,0,0.5666436000000203,7,0,
FRKA0706,train,neg,90,neg90_id8_im21.bmp_neg90_id3_im6.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],same,0,1.1333131000000094,7,0,
FRKA0706,train,neg,90,neg90_id11_im10.bmp_neg90_id2_im2.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],diff,1,1.0427139999999895,8,0,
FRKA0706,train,neg,30,neg30_id5_im1.bmp_neg30_id5_im10.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],same,1,0.6085312000000158,9,0,
FRKA0706,train,neg,150,neg150_id11_im2.bmp_neg150_id11_im1.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],diff,0,0.5221693999999957,9,0,
FRKA0706,train,neg,fs,negfs_id7_im15.bmp_negfs_id18_im18.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],diff,1,0.49165109999995593,10,0,
FRKA0706,train,inv,60,pos60_id5_im1.bmp_pos60_id11_im1.bmp,['Im_KeanuReeves.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielCraig.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png', 'Im_BenStiller.png', 'Im_BradPitt.png', 'Im_ElijahWood.png', 'Im_GeorgeClooney.png'],diff,1,0.7753841999999622,11,0,
