Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
GUES1603,train,pos,fs,posfs_id6_im12.bmp_posfs_id6_im18.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],same,1,2.3998695000000225,1,0,
GUES1603,train,pos,30,pos30_id19_im8.bmp_pos30_id19_im27.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],same,1,0.4167923999998493,2,0,
GUES1603,train,pos,120,pos120_id4_im7.bmp_pos120_id4_im15.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],same,1,0.4083783000000949,3,0,
GUES1603,train,pos,0,pos0_id16_im19.bmp_pos0_id7_im26.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],diff,1,0.41687789999969027,4,0,
GUES1603,train,pos,150,pos150_id4_im15.bmp_pos150_id10_im1.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],diff,1,0.49174489999995785,5,0,
GUES1603,train,pos,90,pos90_id7_im14.bmp_pos90_id10_im1.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],diff,1,0.9331961000002593,6,0,
GUES1603,train,pos,60,pos60_id3_im6.bmp_pos60_id3_im17.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],same,1,0.40000140000029205,7,0,
GUES1603,train,pos,60,pos60_id11_im10.bmp_pos60_id11_im2.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],same,1,0.5001471999999012,8,0,
GUES1603,train,pos,0,pos0_id6_im12.bmp_pos0_id7_im14.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],diff,1,0.4836261000000377,9,0,
GUES1603,train,pos,30,pos30_id3_im17.bmp_pos30_id3_im6.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],same,1,1.283577300000161,10,0,
GUES1603,train,pos,90,pos90_id11_im1.bmp_pos90_id11_im2.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],same,1,0.5498480000001109,11,0,
GUES1603,train,pos,150,pos150_id11_im2.bmp_pos150_id4_im15.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],diff,1,0.4165555999998105,12,0,
GUES1603,train,pos,fs,posfs_id8_im21.bmp_posfs_id8_im20.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],same,1,0.5169740999999703,13,0,
GUES1603,train,pos,120,pos120_id16_im3.bmp_pos120_id8_im13.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],diff,1,0.4167701000001216,14,0,
GUES1603,train,inv,90,pos90_id10_im17.bmp_pos90_id10_im1.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],same,1,0.891970599999695,15,0,
GUES1603,train,inv,150,pos150_id16_im19.bmp_pos150_id7_im26.bmp,['Im_OrlandoBloom.png', 'Im_ElijahWood.png', 'Im_RobertPattinson.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_DanielCraig.png', 'Im_PatrickDempsey.png', 'Im_HughJackman.png', 'Im_JustinTimberlake.png', 'Im_KeanuReeves.png'],diff,1,0.4168091999999888,16,0,
