Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
GUJO1605,train,inv,120,pos120_id3_im8.bmp_pos120_id3_im6.bmp,['Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_HughJackman.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png'],diff,0,1.241706400000112,0,0,
GUJO1605,train,inv,120,pos120_id7_im26.bmp_pos120_id21_im17.bmp,['Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_HughJackman.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png'],diff,1,1.9582945000001928,1,0,
GUJO1605,train,inv,fs,posfs_id20_im3.bmp_posfs_id8_im20.bmp,['Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_HughJackman.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png'],diff,1,0.8917652000000089,2,0,
GUJO1605,train,inv,60,pos60_id21_im16.bmp_pos60_id8_im20.bmp,['Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_HughJackman.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png'],same,0,0.8001838000000134,2,0,
GUJO1605,train,inv,30,pos30_id7_im15.bmp_pos30_id7_im26.bmp,['Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_HughJackman.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png'],diff,0,1.2417109999996683,2,0,
GUJO1605,train,inv,fs,posfs_id19_im4.bmp_posfs_id5_im20.bmp,['Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_HughJackman.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png'],diff,1,0.7249486999999135,3,0,
GUJO1605,train,inv,0,pos0_id5_im20.bmp_pos0_id19_im8.bmp,['Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_HughJackman.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png'],diff,1,1.599854800000685,4,0,
GUJO1605,train,inv,0,pos0_id21_im16.bmp_pos0_id21_im17.bmp,['Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_HughJackman.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png'],same,1,0.5583170999998401,5,0,
GUJO1605,train,inv,60,pos60_id19_im4.bmp_pos60_id10_im17.bmp,['Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_HughJackman.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png'],diff,1,0.6333362999994279,6,0,
GUJO1605,train,inv,90,pos90_id19_im8.bmp_pos90_id5_im20.bmp,['Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_HughJackman.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_RobertDowneyJr.png'],diff,1,1.6503502999994453,7,0,
