Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
GUJU1708,train,inv,30,pos30_id3_im8.bmp_pos30_id3_im17.bmp,['Im_BenStiller.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_KeanuReeves.png'],diff,0,3.458418599999277,0,0,
GUJU1708,train,inv,fs,posfs_id11_im2.bmp_posfs_id11_im1.bmp,['Im_BenStiller.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_KeanuReeves.png'],same,1,0.6829843000004985,1,0,
GUJU1708,train,inv,90,pos90_id7_im14.bmp_pos90_id7_im26.bmp,['Im_BenStiller.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_KeanuReeves.png'],diff,0,0.6169558000001416,1,0,
GUJU1708,train,inv,0,pos0_id11_im1.bmp_pos0_id11_im2.bmp,['Im_BenStiller.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_KeanuReeves.png'],same,1,0.4167595999997502,2,0,
GUJU1708,train,inv,fs,posfs_id3_im8.bmp_posfs_id17_im14.bmp,['Im_BenStiller.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_KeanuReeves.png'],diff,1,0.5501637000006667,3,0,
GUJU1708,train,inv,0,pos0_id10_im18.bmp_pos0_id10_im17.bmp,['Im_BenStiller.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_KeanuReeves.png'],same,1,0.42461289999937435,4,0,
GUJU1708,train,inv,60,pos60_id11_im2.bmp_pos60_id11_im1.bmp,['Im_BenStiller.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_KeanuReeves.png'],same,1,0.8750618999993094,5,0,
GUJU1708,train,inv,120,pos120_id4_im7.bmp_pos120_id17_im8.bmp,['Im_BenStiller.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_KeanuReeves.png'],diff,1,0.458386000000246,6,0,
GUJU1708,train,inv,120,pos120_id19_im8.bmp_pos120_id11_im1.bmp,['Im_BenStiller.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_KeanuReeves.png'],diff,1,0.4415605999993204,7,0,
GUJU1708,train,inv,150,pos150_id19_im4.bmp_pos150_id19_im27.bmp,['Im_BenStiller.png', 'Im_LeonardoDiCaprio.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_PatrickDempsey.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_KeanuReeves.png'],diff,0,0.791914700000234,7,0,
