Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
JENA1012,train,inv,90,pos90_id6_im19.bmp_pos90_id18_im11.bmp,['Im_RyanGosling.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_LeonardoDiCaprio.png', 'Im_ElijahWood.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_JustinTimberlake.png'],same,0,3.4751458000009734,0,0,
JENA1012,train,inv,150,pos150_id19_im27.bmp_pos150_id19_im4.bmp,['Im_RyanGosling.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_LeonardoDiCaprio.png', 'Im_ElijahWood.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_JustinTimberlake.png'],diff,0,1.8338232999994943,0,0,
JENA1012,train,inv,120,pos120_id6_im18.bmp_pos120_id6_im19.bmp,['Im_RyanGosling.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_LeonardoDiCaprio.png', 'Im_ElijahWood.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_JustinTimberlake.png'],diff,0,0.658379700000296,0,0,
JENA1012,train,inv,fs,posfs_id18_im19.bmp_posfs_id20_im30.bmp,['Im_RyanGosling.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_LeonardoDiCaprio.png', 'Im_ElijahWood.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_JustinTimberlake.png'],diff,1,0.5337777999993705,1,0,
JENA1012,train,inv,60,pos60_id19_im8.bmp_pos60_id19_im27.bmp,['Im_RyanGosling.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_LeonardoDiCaprio.png', 'Im_ElijahWood.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_JustinTimberlake.png'],same,1,0.9915830999998434,2,0,
JENA1012,train,inv,30,pos30_id4_im7.bmp_pos30_id4_im20.bmp,['Im_RyanGosling.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_LeonardoDiCaprio.png', 'Im_ElijahWood.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_JustinTimberlake.png'],same,1,0.6333286000008229,3,0,
JENA1012,train,inv,150,pos150_id13_im29.bmp_pos150_id13_im10.bmp,['Im_RyanGosling.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_LeonardoDiCaprio.png', 'Im_ElijahWood.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_JustinTimberlake.png'],diff,0,0.7170125000011467,3,0,
JENA1012,train,inv,fs,posfs_id18_im19.bmp_posfs_id18_im18.bmp,['Im_RyanGosling.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_LeonardoDiCaprio.png', 'Im_ElijahWood.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_JustinTimberlake.png'],same,1,0.4330774999998539,4,0,
JENA1012,train,inv,60,pos60_id6_im12.bmp_pos60_id6_im19.bmp,['Im_RyanGosling.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_LeonardoDiCaprio.png', 'Im_ElijahWood.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_JustinTimberlake.png'],diff,0,0.6666994000006525,4,0,
JENA1012,train,inv,30,pos30_id18_im11.bmp_pos30_id3_im17.bmp,['Im_RyanGosling.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png', 'Im_LeonardoDiCaprio.png', 'Im_ElijahWood.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_JustinTimberlake.png'],diff,1,0.9085162000010314,5,0,
