Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
JEYV1811,train,pos,150,pos150_id7_im26.bmp_pos150_id7_im14.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,1.8338455999999042,1,0,
JEYV1811,train,pos,30,pos30_id21_im17.bmp_pos30_id17_im9.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,1.533504399999856,2,0,
JEYV1811,train,pos,60,pos60_id10_im1.bmp_pos60_id7_im14.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,0.4751675999998497,3,0,
JEYV1811,train,pos,120,pos120_id21_im16.bmp_pos120_id10_im1.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,0.5666300000000319,4,0,
JEYV1811,train,pos,120,pos120_id10_im1.bmp_pos120_id7_im14.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,0.6919542000000547,5,0,
JEYV1811,train,pos,60,pos60_id8_im20.bmp_pos60_id8_im13.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,0.9836577000000943,6,0,
JEYV1811,train,pos,30,pos30_id5_im20.bmp_pos30_id17_im9.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,0.6918198000000757,7,0,
JEYV1811,train,pos,fs,posfs_id10_im17.bmp_posfs_id10_im18.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,0.8331444000000374,8,0,
JEYV1811,train,pos,0,pos0_id13_im10.bmp_pos0_id13_im29.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,0.8083894999999757,9,0,
JEYV1811,train,pos,fs,posfs_id20_im3.bmp_posfs_id20_im12.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,0.7666788000001361,10,0,
JEYV1811,train,pos,90,pos90_id17_im8.bmp_pos90_id10_im17.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,0.6335324000001492,11,0,
JEYV1811,train,pos,90,pos90_id21_im17.bmp_pos90_id17_im9.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,0.7254270999997061,12,0,
JEYV1811,train,pos,0,pos0_id21_im17.bmp_pos0_id10_im17.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,0.7917986000002202,13,0,
JEYV1811,train,pos,150,pos150_id19_im4.bmp_pos150_id8_im21.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,0.6752458999999362,14,0,
JEYV1811,train,neg,120,neg120_id19_im8.bmp_neg120_id13_im29.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,1.233689200000299,15,0,
JEYV1811,train,neg,30,neg30_id13_im29.bmp_neg30_id13_im15.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,0.991810500000156,16,0,
JEYV1811,train,neg,0,neg0_id13_im15.bmp_neg0_id13_im29.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,0.9331898999998884,17,0,
JEYV1811,train,neg,90,neg90_id5_im20.bmp_neg90_id17_im8.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,2.1417747000000418,18,0,
JEYV1811,train,neg,150,neg150_id7_im15.bmp_neg150_id13_im15.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,1.3335692000000563,19,0,
JEYV1811,train,neg,60,neg60_id8_im21.bmp_neg60_id21_im22.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,2.008242099999734,20,0,
JEYV1811,train,neg,30,neg30_id19_im8.bmp_neg30_id11_im1.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,2.4668673999999555,21,0,
JEYV1811,train,neg,fs,negfs_id11_im10.bmp_negfs_id17_im14.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,2.1749328000000787,22,0,
JEYV1811,train,neg,fs,negfs_id10_im17.bmp_negfs_id21_im17.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,1.049999200000002,23,0,
JEYV1811,train,neg,0,neg0_id21_im22.bmp_neg0_id21_im17.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,0.7667481999997108,24,0,
JEYV1811,train,neg,150,neg150_id10_im18.bmp_neg150_id10_im17.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,0.7834104000003208,25,0,
JEYV1811,train,neg,120,neg120_id5_im1.bmp_neg120_id19_im27.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,1.9498224000003574,26,0,
JEYV1811,train,neg,90,neg90_id20_im3.bmp_neg90_id7_im15.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,1.1167765000000145,27,0,
JEYV1811,train,neg,60,neg60_id8_im20.bmp_neg60_id8_im21.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,1.2999731999998403,28,0,
JEYV1811,train,inv,fs,posfs_id7_im15.bmp_posfs_id13_im15.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,1.1668869999998606,29,0,
JEYV1811,train,inv,90,pos90_id21_im16.bmp_pos90_id21_im22.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,1.4581811999996717,30,0,
JEYV1811,train,inv,150,pos150_id21_im16.bmp_pos150_id21_im17.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,0.9750312000001031,31,0,
JEYV1811,train,inv,60,pos60_id7_im15.bmp_pos60_id7_im26.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,1.1003215000000637,32,0,
JEYV1811,train,inv,60,pos60_id10_im18.bmp_pos60_id20_im30.bmp,['Im_GeorgeClooney.png', 'Im_PatrickDempsey.png', 'Im_LeonardoDiCaprio.png', 'Im_KeanuReeves.png', 'Im_HughJackman.png', 'Im_DanielRadcliffe.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,1.0334482000002936,33,0,
