Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
MAEL2812,train,pos,0,pos0_id19_im8.bmp_pos0_id19_im27.bmp,['Im_LeonardoDiCaprio.png', 'Im_BenAffleck.png', 'Im_BradPitt.png', 'Im_RobertDowneyJr.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png', 'Im_HughJackman.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_RyanReynolds.png'],same,1,0.4996778999993694,1,0,
MAEL2812,train,pos,90,pos90_id14_im18.bmp_pos90_id18_im11.bmp,['Im_LeonardoDiCaprio.png', 'Im_BenAffleck.png', 'Im_BradPitt.png', 'Im_RobertDowneyJr.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png', 'Im_HughJackman.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_RyanReynolds.png'],diff,1,0.6997592999996414,2,0,
MAEL2812,train,pos,30,pos30_id19_im27.bmp_pos30_id3_im17.bmp,['Im_LeonardoDiCaprio.png', 'Im_BenAffleck.png', 'Im_BradPitt.png', 'Im_RobertDowneyJr.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png', 'Im_HughJackman.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_RyanReynolds.png'],diff,1,0.4171160999994754,3,0,
MAEL2812,train,pos,fs,posfs_id21_im22.bmp_posfs_id8_im21.bmp,['Im_LeonardoDiCaprio.png', 'Im_BenAffleck.png', 'Im_BradPitt.png', 'Im_RobertDowneyJr.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png', 'Im_HughJackman.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_RyanReynolds.png'],diff,1,0.41687520000050426,4,0,
MAEL2812,train,pos,60,pos60_id14_im16.bmp_pos60_id14_im24.bmp,['Im_LeonardoDiCaprio.png', 'Im_BenAffleck.png', 'Im_BradPitt.png', 'Im_RobertDowneyJr.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png', 'Im_HughJackman.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_RyanReynolds.png'],same,1,0.4168446000003314,5,0,
MAEL2812,train,pos,90,pos90_id8_im13.bmp_pos90_id8_im21.bmp,['Im_LeonardoDiCaprio.png', 'Im_BenAffleck.png', 'Im_BradPitt.png', 'Im_RobertDowneyJr.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png', 'Im_HughJackman.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_RyanReynolds.png'],same,1,0.6167205999990983,6,0,
MAEL2812,train,pos,150,pos150_id19_im4.bmp_pos150_id8_im21.bmp,['Im_LeonardoDiCaprio.png', 'Im_BenAffleck.png', 'Im_BradPitt.png', 'Im_RobertDowneyJr.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png', 'Im_HughJackman.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_RyanReynolds.png'],diff,1,0.4419244999990042,7,0,
MAEL2812,train,pos,fs,posfs_id14_im16.bmp_posfs_id19_im8.bmp,['Im_LeonardoDiCaprio.png', 'Im_BenAffleck.png', 'Im_BradPitt.png', 'Im_RobertDowneyJr.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png', 'Im_HughJackman.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_RyanReynolds.png'],diff,1,0.41673070000069856,8,0,
MAEL2812,train,pos,150,pos150_id6_im12.bmp_pos150_id3_im17.bmp,['Im_LeonardoDiCaprio.png', 'Im_BenAffleck.png', 'Im_BradPitt.png', 'Im_RobertDowneyJr.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png', 'Im_HughJackman.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_RyanReynolds.png'],diff,1,0.4085145000008197,9,0,
MAEL2812,train,pos,0,pos0_id16_im2.bmp_pos0_id16_im3.bmp,['Im_LeonardoDiCaprio.png', 'Im_BenAffleck.png', 'Im_BradPitt.png', 'Im_RobertDowneyJr.png', 'Im_RobertPattinson.png', 'Im_OrlandoBloom.png', 'Im_HughJackman.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_RyanReynolds.png'],same,1,0.41666779999832215,10,0,
