Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
PHAN0707,train,pos,120,pos120_id11_im1.bmp_pos120_id4_im15.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],diff,1,3.2584565000015573,1,0,
PHAN0707,train,pos,120,pos120_id4_im20.bmp_pos120_id21_im17.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],same,0,3.0500448000002507,1,0,
PHAN0707,train,pos,60,pos60_id19_im27.bmp_pos60_id13_im15.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],diff,1,0.42497739999998885,2,0,
PHAN0707,train,pos,0,pos0_id4_im7.bmp_pos0_id4_im20.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],same,1,0.8750222999988182,3,0,
PHAN0707,train,pos,60,pos60_id3_im8.bmp_pos60_id3_im17.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],same,1,0.45007100000111677,4,0,
PHAN0707,train,pos,150,pos150_id13_im10.bmp_pos150_id14_im18.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],diff,1,0.942050300000119,5,0,
PHAN0707,train,pos,fs,posfs_id4_im7.bmp_posfs_id21_im17.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],diff,1,0.4081889000008232,6,0,
PHAN0707,train,pos,0,pos0_id2_im16.bmp_pos0_id13_im29.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],same,0,0.7998646999985795,6,0,
PHAN0707,train,pos,fs,posfs_id14_im18.bmp_posfs_id14_im16.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],same,1,0.6081324000006134,7,0,
PHAN0707,train,pos,30,pos30_id6_im19.bmp_pos30_id6_im18.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],same,1,0.42506540000067616,8,0,
PHAN0707,train,pos,90,pos90_id4_im15.bmp_pos90_id4_im20.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],same,1,0.4248875000012049,9,0,
PHAN0707,train,pos,90,pos90_id11_im10.bmp_pos90_id2_im2.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],diff,1,0.8748491999995167,10,0,
PHAN0707,train,pos,150,pos150_id13_im15.bmp_pos150_id19_im27.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],diff,1,0.4250042999992729,11,0,
PHAN0707,train,pos,30,pos30_id18_im19.bmp_pos30_id18_im11.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],same,1,0.41690400000152295,12,0,
PHAN0707,train,neg,60,neg60_id11_im2.bmp_neg60_id11_im1.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],diff,0,0.751019900000756,12,0,
PHAN0707,train,neg,fs,negfs_id19_im4.bmp_negfs_id6_im18.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],same,0,0.4167433999991772,12,0,
PHAN0707,train,neg,60,neg60_id19_im8.bmp_neg60_id19_im4.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],diff,0,1.0584029000001465,12,0,
PHAN0707,train,neg,120,neg120_id6_im18.bmp_neg120_id6_im19.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],same,1,0.8252018999992288,13,0,
PHAN0707,train,neg,90,neg90_id13_im29.bmp_neg90_id13_im15.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],diff,0,0.41656479999983276,13,0,
PHAN0707,train,neg,0,neg0_id11_im1.bmp_neg0_id4_im15.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],same,0,1.1332281999984843,13,0,
PHAN0707,train,neg,fs,negfs_id4_im20.bmp_negfs_id21_im17.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],diff,1,0.4083387999999104,14,0,
PHAN0707,train,neg,30,neg30_id18_im18.bmp_neg30_id11_im10.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],none,1,4.408260000000155,14,0,
PHAN0707,train,neg,150,neg150_id6_im18.bmp_neg150_id6_im12.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],same,1,0.9333630000000994,15,0,
PHAN0707,train,neg,0,neg0_id11_im1.bmp_neg0_id2_im16.bmp,['Im_LeonardoDiCaprio.png', 'Im_RobertDowneyJr.png', 'Im_RyanReynolds.png', 'Im_MattDamon.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png'],diff,1,0.42507339999974647,16,0,
