Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
PHTA2206,train,inv,60,pos60_id17_im14.bmp_pos60_id17_im9.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],same,1,0.4247126999998727,1,0,
PHTA2206,train,inv,fs,posfs_id7_im26.bmp_posfs_id7_im14.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],same,1,0.4251436999984435,2,0,
PHTA2206,train,inv,30,pos30_id2_im3.bmp_pos30_id2_im16.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],diff,0,0.41672579999976733,2,0,
PHTA2206,train,inv,0,pos0_id5_im1.bmp_pos0_id19_im27.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],diff,1,0.41686099999969883,3,0,
PHTA2206,train,inv,fs,posfs_id6_im18.bmp_posfs_id13_im15.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],diff,1,0.42491599999993923,4,0,
PHTA2206,train,inv,0,pos0_id19_im27.bmp_pos0_id19_im4.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],same,1,0.4166889000007359,5,0,
PHTA2206,train,inv,90,pos90_id11_im1.bmp_pos90_id11_im10.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],diff,0,0.41682480000054056,5,0,
PHTA2206,train,inv,90,pos90_id2_im3.bmp_pos90_id2_im16.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],same,1,0.41674930000044696,6,0,
PHTA2206,train,inv,120,pos120_id6_im19.bmp_pos120_id13_im10.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],diff,1,0.42508210000050894,7,0,
PHTA2206,train,inv,150,pos150_id5_im1.bmp_pos150_id5_im20.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],diff,0,0.41673310000078345,7,0,
PHTA2206,train,inv,30,pos30_id17_im8.bmp_pos30_id17_im14.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],same,1,0.4168817999998282,8,0,
PHTA2206,train,inv,150,pos150_id19_im27.bmp_pos150_id11_im10.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],same,0,0.42507429999932356,8,0,
PHTA2206,train,inv,120,pos120_id13_im15.bmp_pos120_id6_im18.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],diff,1,0.41677180000078806,9,0,
PHTA2206,train,inv,60,pos60_id19_im4.bmp_pos60_id19_im8.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],same,1,0.4083673999994062,10,0,
PHTA2206,train,pos,90,pos90_id5_im1.bmp_pos90_id19_im27.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],diff,1,0.4167462000004889,11,0,
PHTA2206,train,pos,120,pos120_id20_im3.bmp_pos120_id6_im19.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],diff,1,0.42503820000092674,12,0,
PHTA2206,train,pos,90,pos90_id20_im12.bmp_pos90_id20_im3.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],same,1,0.4166801999999734,13,0,
PHTA2206,train,pos,fs,posfs_id17_im14.bmp_posfs_id11_im10.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],diff,1,0.40838409999923897,14,0,
PHTA2206,train,pos,150,pos150_id2_im3.bmp_pos150_id2_im2.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],same,1,0.4250428999985161,15,0,
PHTA2206,train,pos,120,pos120_id11_im1.bmp_pos120_id13_im15.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],diff,1,0.40839430000050925,16,0,
PHTA2206,train,pos,30,pos30_id11_im1.bmp_pos30_id19_im8.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],diff,1,0.4252431000004435,17,0,
PHTA2206,train,pos,0,pos0_id13_im10.bmp_pos0_id13_im15.bmp,['Im_RobertPattinson.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_DanielRadcliffe.png', 'Im_GeorgeClooney.png', 'Im_ElijahWood.png', 'Im_BenStiller.png'],same,1,0.40838629999961995,18,0,
