Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
PIFR3008,train,pos,30,pos30_id3_im6.bmp_pos30_id1_im4.bmp,['Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_BenAffleck.png', 'Im_LeonardoDiCaprio.png', 'Im_BradPitt.png', 'Im_BenStiller.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_MattDamon.png', 'Im_DanielCraig.png'],diff,1,0.591867999999522,1,0,
PIFR3008,train,pos,150,pos150_id8_im13.bmp_pos150_id4_im20.bmp,['Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_BenAffleck.png', 'Im_LeonardoDiCaprio.png', 'Im_BradPitt.png', 'Im_BenStiller.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_MattDamon.png', 'Im_DanielCraig.png'],diff,1,0.41671620000033727,2,0,
PIFR3008,train,pos,30,pos30_id2_im16.bmp_pos30_id2_im2.bmp,['Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_BenAffleck.png', 'Im_LeonardoDiCaprio.png', 'Im_BradPitt.png', 'Im_BenStiller.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_MattDamon.png', 'Im_DanielCraig.png'],same,1,0.4249547999997958,3,0,
PIFR3008,train,pos,90,pos90_id7_im26.bmp_pos90_id7_im15.bmp,['Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_BenAffleck.png', 'Im_LeonardoDiCaprio.png', 'Im_BradPitt.png', 'Im_BenStiller.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_MattDamon.png', 'Im_DanielCraig.png'],same,1,0.42469919999984995,4,0,
PIFR3008,train,pos,0,pos0_id2_im3.bmp_pos0_id2_im2.bmp,['Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_BenAffleck.png', 'Im_LeonardoDiCaprio.png', 'Im_BradPitt.png', 'Im_BenStiller.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_MattDamon.png', 'Im_DanielCraig.png'],same,1,0.42499880000013945,5,0,
PIFR3008,train,pos,fs,posfs_id13_im10.bmp_posfs_id14_im18.bmp,['Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_BenAffleck.png', 'Im_LeonardoDiCaprio.png', 'Im_BradPitt.png', 'Im_BenStiller.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_MattDamon.png', 'Im_DanielCraig.png'],diff,1,0.41666040000018256,6,0,
PIFR3008,train,pos,fs,posfs_id3_im6.bmp_posfs_id10_im17.bmp,['Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_BenAffleck.png', 'Im_LeonardoDiCaprio.png', 'Im_BradPitt.png', 'Im_BenStiller.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_MattDamon.png', 'Im_DanielCraig.png'],diff,1,0.41623280000021623,7,0,
PIFR3008,train,pos,90,pos90_id7_im26.bmp_pos90_id2_im2.bmp,['Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_BenAffleck.png', 'Im_LeonardoDiCaprio.png', 'Im_BradPitt.png', 'Im_BenStiller.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_MattDamon.png', 'Im_DanielCraig.png'],diff,1,0.4250232000003962,8,0,
PIFR3008,train,pos,60,pos60_id2_im16.bmp_pos60_id2_im3.bmp,['Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_BenAffleck.png', 'Im_LeonardoDiCaprio.png', 'Im_BradPitt.png', 'Im_BenStiller.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_MattDamon.png', 'Im_DanielCraig.png'],same,1,0.41655440000067756,9,0,
PIFR3008,train,pos,60,pos60_id1_im21.bmp_pos60_id3_im8.bmp,['Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_BenAffleck.png', 'Im_LeonardoDiCaprio.png', 'Im_BradPitt.png', 'Im_BenStiller.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_MattDamon.png', 'Im_DanielCraig.png'],diff,1,0.43353949999982433,10,0,
PIFR3008,train,pos,120,pos120_id7_im26.bmp_pos120_id7_im14.bmp,['Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_BenAffleck.png', 'Im_LeonardoDiCaprio.png', 'Im_BradPitt.png', 'Im_BenStiller.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_MattDamon.png', 'Im_DanielCraig.png'],same,1,0.4078158000002077,11,0,
PIFR3008,train,pos,0,pos0_id8_im13.bmp_pos0_id8_im21.bmp,['Im_HughJackman.png', 'Im_GeorgeClooney.png', 'Im_BenAffleck.png', 'Im_LeonardoDiCaprio.png', 'Im_BradPitt.png', 'Im_BenStiller.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_MattDamon.png', 'Im_DanielCraig.png'],same,1,0.4166408000000956,12,0,
