Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
ROIS2212,train,neg,fs,negfs_id8_im13.bmp_negfs_id8_im21.bmp,['Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_BenAffleck.png', 'Im_OrlandoBloom.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png'],same,1,1.0334127000000422,1,0,
ROIS2212,train,neg,150,neg150_id21_im17.bmp_neg150_id7_im15.bmp,['Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_BenAffleck.png', 'Im_OrlandoBloom.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png'],diff,1,0.5337549000000195,2,0,
ROIS2212,train,neg,60,neg60_id3_im17.bmp_neg60_id1_im21.bmp,['Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_BenAffleck.png', 'Im_OrlandoBloom.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png'],diff,1,0.41668359999999893,3,0,
ROIS2212,train,neg,120,neg120_id18_im19.bmp_neg120_id18_im18.bmp,['Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_BenAffleck.png', 'Im_OrlandoBloom.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png'],diff,0,1.2834823000000029,3,0,
ROIS2212,train,neg,90,neg90_id13_im15.bmp_neg90_id13_im29.bmp,['Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_BenAffleck.png', 'Im_OrlandoBloom.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png'],same,1,0.5419385000000148,4,0,
ROIS2212,train,neg,30,neg30_id3_im6.bmp_neg30_id3_im8.bmp,['Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_BenAffleck.png', 'Im_OrlandoBloom.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png'],same,1,0.8500418999999511,5,0,
ROIS2212,train,neg,fs,negfs_id17_im9.bmp_negfs_id8_im13.bmp,['Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_BenAffleck.png', 'Im_OrlandoBloom.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png'],same,0,1.7168289999999615,5,0,
ROIS2212,train,neg,0,neg0_id2_im2.bmp_neg0_id18_im19.bmp,['Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_BenAffleck.png', 'Im_OrlandoBloom.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png'],diff,1,0.9749135999999794,6,0,
ROIS2212,train,neg,30,neg30_id17_im14.bmp_neg30_id7_im26.bmp,['Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_BenAffleck.png', 'Im_OrlandoBloom.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png'],diff,1,1.1669021000000157,7,0,
ROIS2212,train,neg,90,neg90_id17_im9.bmp_neg90_id8_im13.bmp,['Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_BenAffleck.png', 'Im_OrlandoBloom.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png'],diff,1,1.5337299999999914,8,0,
ROIS2212,train,neg,120,neg120_id18_im19.bmp_neg120_id2_im2.bmp,['Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_BenAffleck.png', 'Im_OrlandoBloom.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png'],diff,1,1.0833284999999933,9,0,
ROIS2212,train,neg,150,neg150_id17_im8.bmp_neg150_id16_im19.bmp,['Im_LeonardoDiCaprio.png', 'Im_HughJackman.png', 'Im_PatrickDempsey.png', 'Im_BenStiller.png', 'Im_RyanReynolds.png', 'Im_BradPitt.png', 'Im_BenAffleck.png', 'Im_OrlandoBloom.png', 'Im_RobertDowneyJr.png', 'Im_GeorgeClooney.png'],diff,1,0.5169305999999665,10,0,
