Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
SASO1010,train,inv,150,pos150_id19_im4.bmp_pos150_id7_im15.bmp,['Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_DanielCraig.png'],diff,1,0.6919235999994271,1,0,
SASO1010,train,inv,30,pos30_id19_im8.bmp_pos30_id13_im29.bmp,['Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_DanielCraig.png'],diff,1,0.46646160000000236,2,0,
SASO1010,train,inv,30,pos30_id7_im14.bmp_pos30_id4_im20.bmp,['Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_DanielCraig.png'],diff,1,0.6083982000000105,3,0,
SASO1010,train,inv,0,pos0_id13_im10.bmp_pos0_id5_im20.bmp,['Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_DanielCraig.png'],same,0,0.6252280999997311,3,0,
SASO1010,train,inv,120,pos120_id3_im17.bmp_pos120_id3_im6.bmp,['Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_DanielCraig.png'],same,1,0.6665671999999176,4,0,
SASO1010,train,inv,60,pos60_id17_im8.bmp_pos60_id17_im9.bmp,['Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_DanielCraig.png'],diff,0,0.5174294999997073,4,0,
SASO1010,train,inv,fs,posfs_id7_im14.bmp_posfs_id13_im29.bmp,['Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_DanielCraig.png'],diff,1,0.416762199999539,5,0,
SASO1010,train,inv,120,pos120_id3_im8.bmp_pos120_id17_im14.bmp,['Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_DanielCraig.png'],diff,1,0.5999029000004157,6,0,
SASO1010,train,inv,0,pos0_id17_im14.bmp_pos0_id3_im8.bmp,['Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_DanielCraig.png'],diff,1,0.6501592000004166,7,0,
SASO1010,train,inv,fs,posfs_id17_im9.bmp_posfs_id3_im6.bmp,['Im_BenStiller.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_JustinTimberlake.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_DanielCraig.png'],diff,1,0.41670330000033573,8,0,
