Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
STCH0106,train,pos,0,pos0_id20_im30.bmp_pos0_id5_im20.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,0,0.9419490000000224,0,0,
STCH0106,train,pos,150,pos150_id13_im29.bmp_pos150_id4_im15.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,0,2.050646900002903,0,0,
STCH0106,train,pos,0,pos0_id17_im9.bmp_pos0_id7_im14.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,2.2914584999998624,1,0,
STCH0106,train,pos,30,pos30_id20_im3.bmp_pos30_id5_im20.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,0,1.5502073999996355,1,0,
STCH0106,train,pos,30,pos30_id4_im15.bmp_pos30_id4_im20.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,0,0.42481430000043474,1,0,
STCH0106,train,pos,60,pos60_id7_im14.bmp_pos60_id7_im15.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,2.2249155000026803,2,0,
STCH0106,train,pos,120,pos120_id21_im17.bmp_pos120_id7_im26.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,0,0.683315300000686,2,0,
STCH0106,train,pos,60,pos60_id6_im12.bmp_pos60_id6_im18.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,0,2.2249350999991293,2,0,
STCH0106,train,pos,fs,posfs_id6_im18.bmp_posfs_id17_im8.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,1.6585177999986627,3,0,
STCH0106,train,pos,90,pos90_id3_im17.bmp_pos90_id3_im6.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,0.7665285999974003,4,0,
STCH0106,train,pos,120,pos120_id21_im16.bmp_pos120_id5_im1.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,0.5923856000008527,5,0,
STCH0106,train,pos,fs,posfs_id3_im6.bmp_posfs_id3_im17.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,0,2.6583532000004197,5,0,
STCH0106,train,pos,150,pos150_id13_im29.bmp_pos150_id11_im2.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,0.7335429999984626,6,0,
STCH0106,train,pos,90,pos90_id7_im26.bmp_pos90_id4_im7.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,1.800023699997837,7,0,
STCH0106,train,neg,150,neg150_id17_im8.bmp_neg150_id17_im14.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,0.6419057000020985,8,0,
STCH0106,train,neg,120,neg120_id13_im15.bmp_neg120_id20_im12.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],diff,1,0.7171053999991273,9,0,
STCH0106,train,neg,60,neg60_id13_im10.bmp_neg60_id13_im29.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,0.6503867999999784,10,0,
STCH0106,train,neg,60,neg60_id7_im26.bmp_neg60_id7_im14.bmp,['Im_PatrickDempsey.png', 'Im_ElijahWood.png', 'Im_DanielCraig.png', 'Im_GeorgeClooney.png', 'Im_BradPitt.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_KeanuReeves.png', 'Im_RyanGosling.png', 'Im_RyanReynolds.png'],same,1,1.0498693000008643,11,0,
