Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
XABE0501,train,pos,30,pos30_id14_im24.bmp_pos30_id14_im18.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_MattDamon.png'],diff,0,0.6584083999999848,0,0,
XABE0501,train,pos,90,pos90_id4_im15.bmp_pos90_id18_im11.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_MattDamon.png'],diff,1,0.41667860000001156,1,0,
XABE0501,train,pos,0,pos0_id20_im30.bmp_pos0_id20_im3.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_MattDamon.png'],none,1,4.408425999999963,1,0,
XABE0501,train,pos,150,pos150_id18_im19.bmp_pos150_id13_im10.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_MattDamon.png'],diff,1,0.9168147000000317,2,0,
XABE0501,train,pos,60,pos60_id10_im1.bmp_pos60_id10_im17.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_MattDamon.png'],same,1,0.4163714000000027,3,0,
XABE0501,train,pos,150,pos150_id10_im18.bmp_pos150_id13_im29.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_MattDamon.png'],diff,1,0.43371120000000474,4,0,
XABE0501,train,pos,0,pos0_id19_im27.bmp_pos0_id14_im16.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_MattDamon.png'],same,0,0.4836894999999686,4,0,
XABE0501,train,pos,30,pos30_id5_im20.bmp_pos30_id14_im16.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_MattDamon.png'],diff,1,0.41679929999997967,5,0,
XABE0501,train,pos,90,pos90_id17_im8.bmp_pos90_id10_im17.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_MattDamon.png'],diff,1,0.9252759999999967,6,0,
XABE0501,train,pos,120,pos120_id14_im18.bmp_pos120_id5_im10.bmp,['Im_PatrickDempsey.png', 'Im_DanielCraig.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_GeorgeClooney.png', 'Im_RobertDowneyJr.png', 'Im_DanielRadcliffe.png', 'Im_RobertPattinson.png', 'Im_LeonardoDiCaprio.png', 'Im_MattDamon.png'],diff,1,0.4084373000000028,7,0,
