Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
XAFR1107,train,neg,60,neg60_id13_im29.bmp_neg60_id10_im18.bmp,['Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_GeorgeClooney.png', 'Im_RyanReynolds.png', 'Im_PatrickDempsey.png'],diff,1,0.8501308000000165,1,0,
XAFR1107,train,neg,120,neg120_id20_im30.bmp_neg120_id13_im10.bmp,['Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_GeorgeClooney.png', 'Im_RyanReynolds.png', 'Im_PatrickDempsey.png'],diff,1,0.5332432000000153,2,0,
XAFR1107,train,neg,60,neg60_id7_im15.bmp_neg60_id7_im14.bmp,['Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_GeorgeClooney.png', 'Im_RyanReynolds.png', 'Im_PatrickDempsey.png'],same,1,0.6665945999999963,3,0,
XAFR1107,train,neg,fs,negfs_id21_im22.bmp_negfs_id4_im20.bmp,['Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_GeorgeClooney.png', 'Im_RyanReynolds.png', 'Im_PatrickDempsey.png'],diff,1,0.4168314000000066,4,0,
XAFR1107,train,neg,150,neg150_id7_im26.bmp_neg150_id7_im15.bmp,['Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_GeorgeClooney.png', 'Im_RyanReynolds.png', 'Im_PatrickDempsey.png'],same,1,0.5333114999999964,5,0,
XAFR1107,train,neg,120,neg120_id5_im10.bmp_neg120_id5_im1.bmp,['Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_GeorgeClooney.png', 'Im_RyanReynolds.png', 'Im_PatrickDempsey.png'],diff,0,1.0834629000000007,5,0,
XAFR1107,train,neg,fs,negfs_id3_im8.bmp_negfs_id7_im26.bmp,['Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_GeorgeClooney.png', 'Im_RyanReynolds.png', 'Im_PatrickDempsey.png'],diff,1,0.40845909999998753,6,0,
XAFR1107,train,neg,30,neg30_id3_im8.bmp_neg30_id3_im17.bmp,['Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_GeorgeClooney.png', 'Im_RyanReynolds.png', 'Im_PatrickDempsey.png'],same,1,0.4085439000000122,7,0,
XAFR1107,train,neg,150,neg150_id20_im3.bmp_neg150_id20_im12.bmp,['Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_GeorgeClooney.png', 'Im_RyanReynolds.png', 'Im_PatrickDempsey.png'],same,1,0.5502271000000007,8,0,
XAFR1107,train,neg,90,neg90_id19_im8.bmp_neg90_id19_im27.bmp,['Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_BradPitt.png', 'Im_RobertPattinson.png', 'Im_DanielCraig.png', 'Im_RyanGosling.png', 'Im_JustinTimberlake.png', 'Im_GeorgeClooney.png', 'Im_RyanReynolds.png', 'Im_PatrickDempsey.png'],same,1,0.40840879999998947,9,0,
