Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
YVSY0203,train,pos,60,pos60_id8_im21.bmp_pos60_id19_im4.bmp,['Im_ElijahWood.png', 'Im_BenStiller.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png'],diff,1,1.1166753000006793,1,0,
YVSY0203,train,pos,90,pos90_id11_im1.bmp_pos90_id11_im2.bmp,['Im_ElijahWood.png', 'Im_BenStiller.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png'],diff,0,0.8587310000002617,1,0,
YVSY0203,train,pos,120,pos120_id2_im2.bmp_pos120_id2_im3.bmp,['Im_ElijahWood.png', 'Im_BenStiller.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png'],same,1,0.9333548999993582,2,0,
YVSY0203,train,pos,60,pos60_id11_im1.bmp_pos60_id19_im8.bmp,['Im_ElijahWood.png', 'Im_BenStiller.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png'],diff,1,0.47501869999996416,3,0,
YVSY0203,train,pos,0,pos0_id13_im29.bmp_pos0_id13_im10.bmp,['Im_ElijahWood.png', 'Im_BenStiller.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png'],diff,0,1.1668211000005613,3,0,
YVSY0203,train,pos,90,pos90_id8_im20.bmp_pos90_id8_im21.bmp,['Im_ElijahWood.png', 'Im_BenStiller.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png'],same,1,0.8498316000004706,4,0,
YVSY0203,train,pos,120,pos120_id13_im29.bmp_pos120_id13_im10.bmp,['Im_ElijahWood.png', 'Im_BenStiller.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png'],diff,0,0.41683460000058403,4,0,
YVSY0203,train,pos,fs,posfs_id13_im29.bmp_posfs_id19_im8.bmp,['Im_ElijahWood.png', 'Im_BenStiller.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png'],diff,1,0.6177201000000423,5,0,
YVSY0203,train,pos,30,pos30_id13_im29.bmp_pos30_id19_im8.bmp,['Im_ElijahWood.png', 'Im_BenStiller.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png'],same,0,0.8671646000002511,5,0,
YVSY0203,train,pos,150,pos150_id13_im10.bmp_pos150_id13_im29.bmp,['Im_ElijahWood.png', 'Im_BenStiller.png', 'Im_RobertPattinson.png', 'Im_PatrickDempsey.png', 'Im_JustinTimberlake.png', 'Im_LeonardoDiCaprio.png', 'Im_DanielRadcliffe.png', 'Im_HughJackman.png', 'Im_KeanuReeves.png', 'Im_GeorgeClooney.png'],diff,0,1.6501590999996552,5,0,
